serial_num,status,date,project,context,message
2,incomplete,today,android|python,mike,+android working with everyone from +python with @mike
3,complete,tomorrow,paypal,jen,+paypal working asked by @jen
4,incomplete,today,personal,jen|steve,Brutal working collaborated with @jen and @steve
5,complete,tomorrow,personal,ron|jon|bron,Brutal working helping @ron @jon and @bron
6,incomplete,today,devops,rita,Brutal working on +devops and overtime with @rita
7,incomplete,21 jun,occupation,ravi,+occupation meet with @ravi
8,incomplete,21 jun,occupation,ravi,+occupation meet with @ravi
9,incomplete,21 jun,occupation,ravi|rima,+occupation meet with @ravi and @rima
11,complete,tomorrow,personal,abhishek,catch up with @abhishek
13,incomplete,tomorrow,work,abhishek,+work catch up with @abhishek
14,incomplete,tomorrow,personal,none,meet shyam
16,incomplete,21 jun,healthcare,shyam,+healthcare meet @shyam about
17,incomplete,,healthcare,shyam,+healthcare meet @shyam about
18,incomplete,,healthcare,shyam,+healthcare meet @shyam about
19,incomplete,,healthcare,shyam,+healthcare meet @shyam about
21,incomplete,11 feb,healthcare,shyam,+healthcare meet @shyam about
22,incomplete,22 mar,personal,john,meeting @john on sunday
23,incomplete,tomorrow,personal,none,
24,incomplete,tomorrow,jvm|android,rita|mike,help +jvm +android with @rita @mike
25,incomplete,tomorrow,drupal,amit,+drupal contact @amit
27,complete,tomorrow,drupal,amit,+drupal kill @amit
28,incomplete,tomorrow,devops,ram,+devops meet @ram
29,incomplete,today,personal,ram,get in touch with @ram
30,incomplete,tomorrow,personal,ram,get in touch with @ram
